text,pos
durchs,ADP
Zimmertelefon,NOUN
des,DET
Berghotels,NOUN
das,DET
Fehlen,NOUN
eines,DET
Flaschenöffners,NOUN
vorgebracht,VERB
darauf,ADV
die,DET
Stimme,NOUN
an,ADP
der,DET
Rezeption,NOUN
",",PUNCT
dann,ADV
hat,AUX
Ihr,DET
Vorgänger,NOUN
ihn,PRON
mitgenommen,VERB
",",PUNCT
ich,PRON
schwieg,VERB
war,AUX
schuldbewusst,ADV
für,ADP
jemand,PRON
den,PRON
ich,PRON
nie,ADV
gesehen,VERB
hatte,AUX
",",PUNCT
wanderte,VERB
den,DET
zugefrorenen,ADJ
See,NOUN
entlang,ADP
",",PUNCT
das,DET
gelbe,ADJ
Schilf,NOUN
nickte,VERB
am,ADP
Ufer,NOUN
als,SCONJ
ich,PRON
zurückkam,VERB
kreuzten,VERB
Mondfahrern,NOUN
gleich,ADV
ausgestattet,VERB
das,DET
Bretterzeug,NOUN
geschultert,VERB
schwanken,VERB
knirschen,VERB
knirschend,ADV
die,DET
jungen,ADJ
lauten,ADJ
Fremden,NOUN
über,ADP
den,DET
verschneiten,ADJ
Kirchenplatz,NOUN
Schnee,NOUN
auf,ADP
den,DET
von,ADP
den,DET
Dächern,NOUN
Dachtraufen,NOUN
hängen,VERB
dräuen,ADV
dräuten,ADV
dolchen,ADV
die,DET
riesigen,ADJ
riesige,ADJ
Dolche,NOUN
Eiszapfen,NOUN
schädelwärts,ADV
durchs,ADP
Zimmertelefon,NOUN
des,DET
Berghotels,NOUN
rügte,VERB
ich,PRON
das,DET
Fehlen,NOUN
eines,DET
Flaschenöffners,NOUN
die,DET
Rezeption,NOUN
bedauerte,VERB
:,PUNCT
dann,ADV
hat,AUX
Ihr,DET
Vorgänger,NOUN
ihn,PRON
mitgenommen,VERB
!,PUNCT
ich,PRON
fühlte,VERB
mich,PRON
schuldig,ADV
für,ADP
jemand,PRON
den,PRON
ich,PRON
nicht,PART
kannte,VERB
wanderte,VERB
ein,DET
wenig,PRON
etwas,ADV
bedrückt,ADV
den,DET
zugefrorenen,ADJ
See,NOUN
entlang,ADP
das,DET
vergilbte,ADJ
Schilf,NOUN
schwankte,VERB
am,ADP
Ufer,NOUN
zurückgekehrt,VERB
in,ADP
die,DET
Ortschaft,NOUN
kreuzten,VERB
wie,ADP
Mondfahrer,NOUN
ausgestattet,VERB
kreuzweise,ADJ
Schistöcke,NOUN
und,CCONJ
Bretter,NOUN
geschultert,VERB
lauthals,ADV
und,CCONJ
lässig,ADV
stapften,VERB
die,DET
jungen,ADJ
fremden,NOUN
knirschend,ADV
den,DET
verschneiten,ADJ
Kirchenplatz,NOUN
über,ADP
das,DET
knirschende,ADJ
weiße,ADJ
Parkett,NOUN
Kirchenvorplatz,NOUN
des,DET
Kirchenvorplatzes,NOUN
von,ADP
den,DET
Dachtraufen,NOUN
dräuten,VERB
riesige,ADJ
Dolche,NOUN
schädelwärts,ADV
ich,PRON
wanderte,VERB
jetzt,ADV
in,ADP
der,DET
Mitte,NOUN
der,DET
Straße,NOUN
Alp-Traum,NOUN
über,ADP
das,DET
durchs,ADP
Zimmertelefon,NOUN
des,DET
Berghotels,NOUN
melde,VERB
ich,PRON
das,DET
Fehlen,NOUN
eines,DET
Flaschenöffners,NOUN
:,PUNCT
die,DET
Rezeption,NOUN
bedauert,VERB
:,PUNCT
dann,ADV
hat,AUX
Ihr,DET
Vorgänger,NOUN
ihn,PRON
mitgenommen,VERB
!,PUNCT
ich,PRON
komme,VERB
mir,PRON
schuldig,ADV
vor,ADP
für,ADP
jemand,PRON
den,PRON
ich,PRON
nicht,PART
kenne,VERB
",",PUNCT
wandere,VERB
etwas,ADV
bedrückt,ADV
den,DET
zugefrorenen,ADJ
See,NOUN
entlang,ADP
:,PUNCT
gebüschelt,ADV
schwankend,ADV
schwankt,VERB
das,DET
vergilbte,ADJ
Schilfrohr,NOUN
am,ADP
Ufer,NOUN
;,PUNCT
lauthals,ADV
und,CCONJ
lässig,ADV
wie,ADP
Mondfahrer,NOUN
ausgestattet,VERB
kreuzweise,ADJ
Schistöcke,NOUN
und,CCONJ
Bretter,NOUN
geschultert,VERB
",",PUNCT
stapfen,VERB
die,DET
jungen,ADJ
Fremden,NOUN
über,ADP
den,DET
knirschenden,ADJ
Kirchenvorplatz,NOUN
Kirchenplatz,NOUN
-,PUNCT
ich,PRON
spähe,VERB
angstvoll,ADV
nach,ADP
oben,ADV
benutze,VERB
die,DET
