text,pos
"""",PUNCT
Universum,NOUN
"""",PUNCT
das,DET
Federbett,NOUN
/,PUNCT
-barett,NOUN
ist,AUX
überschwemmt,VERB
so,ADV
porenhaft,ADV
der,DET
Schellenbaum,NOUN
/,PUNCT
(,PUNCT
"""",PUNCT
..,PUNCT
auf,ADP
der,DET
Treppe,NOUN
geschlafen,VERB
mit,ADP
dir,PRON
",",PUNCT
es,PRON
hat,AUX
mir,PRON
geträumt,VERB
..,PUNCT
"""",PUNCT
),PUNCT
Steine,NOUN
gesammelt,VERB
+,PUNCT
weggeworfen,VERB
Blendung,NOUN
Verblendung,NOUN
am,ADP
Zungengrund,NOUN
sich,PRON
umarmen,VERB
/,PUNCT
getrennt,VERB
sein,AUX
(,PUNCT
"""",PUNCT
was,PRON
hast,AUX
du,PRON
gerade,ADV
gedacht,VERB
?,PUNCT
..,PUNCT
"""",PUNCT
),PUNCT
Wimpel,NOUN
/,PUNCT
Lamelle,NOUN
Lamellenheft,NOUN
Ofenlamelle,NOUN
abgesprungen,VERB
ist,AUX
abgegangen,VERB
abgesprungen,VERB
die,DET
Gesetze,NOUN
des,DET
Gebens,NOUN
und,CCONJ
Nehmens,NOUN
sind,AUX
aufgehoben,VERB
vom,ADP
Ende,NOUN
zum,ADP
Anfang,NOUN
",",PUNCT
eine,DET
Gabelsberger,ADJ
Schrift,NOUN
?,PUNCT
Handschrift,NOUN
Beschriftung,NOUN
?,PUNCT
Jagdhund,NOUN
und,CCONJ
Terminal,NOUN
Mexiko,PROPN
City,PROPN
es,PRON
ballerte,VERB
von,ADP
den,DET
kahlen,ADJ
Bäumen,NOUN
",",PUNCT
Grübchen,NOUN
der,DET
kahlen,ADJ
Decke,NOUN
und,CCONJ
Fußkraft,NOUN
so,ADV
schelmisch,ADV
/,PUNCT
Wipfel,NOUN
des,DET
Baumes,NOUN
Baums,NOUN
singender,ADJ
Brauenbogen,NOUN
",",PUNCT
Schamanenlied,NOUN
..,PUNCT
Gabelsberger,ADJ
Universum,NOUN
"""",PUNCT
Universum,NOUN
"""",PUNCT
+,CCONJ
Gabelsberg,PROPN
die,DET
Gesetze,NOUN
des,DET
Gebens,NOUN
und,CCONJ
Nehmnes,NOUN
sind,AUX
aufgehoben,VERB
das,DET
Federbett,NOUN
/,PUNCT
-barett,NOUN
ist,AUX
überschwemmt,VERB
so,ADV
porenhaft,ADV
der,DET
Schellenbaum,NOUN
",",PUNCT
die,DET
Steine,NOUN
gesammelt,VERB
und,CCONJ
weggeworfen,VERB
(,PUNCT
"""",PUNCT
..,PUNCT
auf,ADP
der,DET
Treppe,NOUN
geschlafen,VERB
mit,ADP
dir,PRON
..,PUNCT
es,PRON
hat,AUX
mir,PRON
geträumt,VERB
..,PUNCT
"""",PUNCT
),PUNCT
Blendung,NOUN
Verblendung,NOUN
am,ADP
Zungengrund,NOUN
sich,PRON
umarmen,VERB
/,PUNCT
getrennt,VERB
sein,AUX
(,PUNCT
"""",PUNCT
..,PUNCT
was,PRON
hast,AUX
du,PRON
gerade,ADV
gedacht,VERB
?,PUNCT
"""",PUNCT
vom,ADP
Ende,NOUN
zum,ADP
Anfang,NOUN
",",PUNCT
Wimpel,NOUN
die,DET
kahlen,ADJ
Wipfel,NOUN
die,DET
Ofenlamelle,NOUN
abgesprungen,VERB
zersprungen,VERB
ist,AUX
es,PRON
eine,DET
Gabelsberger,ADJ
Beschriftung,NOUN
?,PUNCT
Grübchen,NOUN
