text,pos
mit,ADP
weißen,ADJ
Schwingen,NOUN
in,ADP
den,DET
violetten,ADJ
Morgen,NOUN
",",PUNCT
die,DET
Luft,NOUN
voll,ADV
riecht,VERB
nach,ADP
Grießbrei,NOUN
",",PUNCT
von,ADP
im,ADP
Gegenlicht,NOUN
hinten,ADV
das,DET
Ohrenpaar,NOUN
",",PUNCT
horchend,ADV
und,CCONJ
spitz,ADV
",",PUNCT
die,DET
Ziegen,NOUN
im,ADP
Tal,NOUN
",",PUNCT
Ziege,NOUN
im,ADP
Fels,NOUN
sein,DET
dein,DET
Blick,NOUN
weicht,VERB
mir,PRON
aus,ADP
",",PUNCT
dann,ADV
verflog,VERB
sich,PRON
(,PUNCT
tamponte,NOUN
),PUNCT
/,PUNCT
der,DET
Kuss,NOUN
/,PUNCT
kein,DET
Klebestreifen,NOUN
über,ADP
Wasserfarbe,NOUN
",",PUNCT
komm,VERB
herunter,ADV
mich,PRON
zu,PART
nehmen,VERB
",",PUNCT
eigentlich,ADV
interessieren,VERB
mich,PRON
die,DET
Bildunterschriften,NOUN
immer,ADV
mehr,ADV
als,ADP
die,DET
Bilder,NOUN
kein,DET
Widerschein,NOUN
in,ADP
deinem,DET
seinem,DET
Gesicht,NOUN
",",PUNCT
dein,DET
sein,DET
Blick,NOUN
weicht,VERB
wich,VERB
mir,PRON
aus,ADP
",",PUNCT
Steinerschule,NOUN
",",PUNCT
das,DET
Federchen,NOUN
sträubte,VERB
als,ADP
-,PUNCT
Lippenähnlichkeit,NOUN
",",PUNCT
und,CCONJ
lässig,ADV
(,PUNCT
"""",PUNCT
allez,X
!,PUNCT
"""",PUNCT
),PUNCT
französisch,ADV
die,DET
Gasse,NOUN
kehren,VERB
/,PUNCT
queren,VERB
allez,ADV
!,PUNCT
",",PUNCT
den,DET
Kot,NOUN
verlieren,VERB
schlaksig,ADV
und,CCONJ
mild,ADV
",",PUNCT
den,DET
Kot,NOUN
verlieren,VERB
",",PUNCT
der,DET
erkaltete,ADJ
Garten,NOUN
",",PUNCT
verzagter,ADJ
Mund,NOUN
",",PUNCT
hochhackig,ADV
",",PUNCT
die,DET
grünen,ADJ
Halme,NOUN
am,ADP
Schuh,NOUN
",",PUNCT
Reste,NOUN
von,ADP
klumpigem,ADJ
Kot,NOUN
/,PUNCT
der,DET
Klötze,NOUN
Form,NOUN
",",PUNCT
mit,ADP
gelbem,ADJ
Pigment,NOUN
",",PUNCT
von,ADP
nahe,ADV
",",PUNCT
Kopfsorger,NOUN
",",PUNCT
das,DET
Echo,NOUN
des,DET
Hundegebells,NOUN
im,ADP
Tal,NOUN
aus,ADP
dem,DET
Tal,NOUN
(,PUNCT
Feststück,NOUN
),PUNCT
",",PUNCT
in,ADP
meinen,DET
unseren,DET
letzten,ADJ
Tagen,NOUN
",",PUNCT
Waschzimmer,NOUN
(,PUNCT
Zettel,NOUN
),PUNCT
was,PRON
abfällt,VERB
vom,ADP
Tisch,NOUN
